Question No.,Name,Solution Link,Difficulty,Tags,Discuss Link
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,Medium,BFS / Union Find,https://discuss.leetcode.com/topic/94352/clean-c-bfs
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/description/,Easy,Hash Table,https://leetcode.com/problems/isomorphic-strings/discuss/198484/C++-hashmap-easy-to-understand
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/description/,Easy,Linked List,https://discuss.leetcode.com/topic/101258/simple-c-iterative-and-recursive
207,Course Schedule,https://leetcode.com/problems/course-schedule/description/,Medium,Graph / BFS / Topological Sort,https://discuss.leetcode.com/topic/101302/short-c-bfs-topological-sort
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/description/,Medium,Array / Two Pointers,https://discuss.leetcode.com/topic/100119/c-o-n-two-pointers
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,Medium,Graph / BFS / Topological Sort,https://discuss.leetcode.com/topic/101303/short-c-bfs
211,Add and Search Word - Data structure design,https://leetcode.com/problems/add-and-search-word-data-structure-design/description/,Medium,Design / Trie,https://discuss.leetcode.com/topic/100013/c-62ms-beats-100
212,Word Search II,https://leetcode.com/problems/word-search-ii/description/,Hard,Backtracking / Trie,https://discuss.leetcode.com/topic/83017/c-462-ms-brute-force-and-35-ms-trie-solution
214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/description/,Hard,String,https://discuss.leetcode.com/topic/107629/5-lines-c
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,Medium,Sort / Partition,https://discuss.leetcode.com/topic/101309/c-o-nlogn-and-o-n-using-partition
221,Maximal Square,https://leetcode.com/problems/maximal-square/description/,Medium,Dynamic Programming / BFS,https://github.com/fengvyi/LeetCode/blob/master/C%2B%2B/221.%20Maximal%20Square.cpp
223,Rectangle Area,https://leetcode.com/problems/rectangle-area/description/,Medium,Math,https://discuss.leetcode.com/topic/77094/clean-9-lines-c-updated
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/description/,Hard,String / Stack,https://discuss.leetcode.com/topic/108357/c-13ms-stack-solution
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/description/,Easy,Tree,https://discuss.leetcode.com/topic/85926/clean-c-recursive-iterative-solution
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,Medium,String,https://discuss.leetcode.com/topic/98114/clean-16-lines-c-using-lambda
228,Summary Ranges,https://leetcode.com/problems/summary-ranges/description/,Medium,Array,https://discuss.leetcode.com/topic/108363/6-lines-c
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/description/,Medium,Array,https://discuss.leetcode.com/topic/85914/c-12-ms-o-1-space-boyer-moore-majority-vote-algorithm
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/,Medium,Tree,https://discuss.leetcode.com/topic/80538/two-8-lines-solutions-in-c-easy-to-understand
231,Power of Two,https://leetcode.com/problems/power-of-two/description/,Easy,Bit Manipulation,https://discuss.leetcode.com/topic/108365/one-line-c
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/description/,Easy,Linked List / Two Pointers,https://discuss.leetcode.com/topic/101317/clean-c-o-1-space
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/,Easy,Tree,https://discuss.leetcode.com/topic/86300/share-my-c-26ms-recursion
