Question No.,Name,Problem Link,C++ Solution Link,Python Solution Link,Status,Category,Difficulty,Basic Idea,Section,Time Complexity,Space Complexity,Premium,Tags
475,Heaters,https://leetcode.com/problems/heaters/,https://github.com/astromanish/CP/blob/master/final_solution/0475.%20Heaters/0475.cpp,,Not started,,Easy,"1. Binary search hourse in heater array, O(nlogn) and O(1)<br> 2. Two points, O(nlogn) and O(1)",,,,,nan
633,Sum of Square Numbers,https://leetcode.com/problems/sum-of-square-numbers/,https://github.com/astromanish/CP/blob/master/final_solution/0633.%20Sum%20of%20Square%20Numbers/0633.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0633.%20Sum%20of%20Square%20Numbers/0633.py,Not started,Math,Easy,,Mathematics,,,,Math
136,Single Number,https://leetcode.com/problems/single-number/,https://github.com/astromanish/CP/blob/master/final_solution/0136.%20Single%20Number/0136.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0136.%20Single%20Number/0136.py,Done,Bit Manipulation,Easy,"1. Hash or set, O(n) and O(n)<br>2. xor O(n) and O(1)",Bit Manipulation,,,,Bit Manipulation
482,License Key Formatting,https://leetcode.com/problems/license-key-formatting/,https://github.com/astromanish/CP/blob/master/final_solution/0482.%20License%20Key%20Formatting/0482.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0482.%20License%20Key%20Formatting/0482.py,Not started,Array,Easy,"String processing, lower and len % K, O(n) and O(n)",Array,,,,Array
530,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,https://github.com/astromanish/CP/blob/master/final_solution/0530.%20Minimum%20Absolute%20Difference%20in%20BST/0530.cpp,,Not started,,Easy,,,,,,nan
908,Smallest Range I,https://leetcode.com/problems/smallest-range-i/,https://github.com/astromanish/CP/blob/master/final_solution/0908.%20Smallest%20Range%20I/0908.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0908.%20Smallest%20Range%20I/0908.py,Not started,,Easy,,,,,,nan
1114,Print in Order,https://leetcode.com/problems/print-in-order/,https://github.com/astromanish/CP/blob/master/final_solution/1114.%20Print%20in%20Order/1114.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1114.%20Print%20in%20Order/1114.py,Not started,,Easy,,,,,,nan
441,Arranging Coins,https://leetcode.com/problems/arranging-coins/,https://github.com/astromanish/CP/blob/master/final_solution/0441.%20Arranging%20Coins/0441.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0441.%20Arranging%20Coins/0441.py,Not started,Math,Easy,O(n) time.,Mathematics,,,,Math
897,Increasing Order Search Tree,https://leetcode.com/problems/increasing-order-search-tree/,https://github.com/astromanish/CP/blob/master/final_solution/0897.%20Increasing%20Order%20Search%20Tree/0897.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0897.%20Increasing%20Order%20Search%20Tree/0897.py,Not started,,Easy,,,,,,nan
541,Reverse String II,https://leetcode.com/problems/reverse-string-ii/,https://github.com/astromanish/CP/blob/master/final_solution/0541.%20Reverse%20String%20II/0541.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0541.%20Reverse%20String%20II/0541.py,Not started,String,Easy,"Handle each 2k until reaching end, On(n) and O(n)",String,,,,String
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,https://github.com/astromanish/CP/blob/master/final_solution/0242.%20Valid%20Anagram/0242.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0242.%20Valid%20Anagram/0242.py,Not started,,Easy,,,,,,nan
922,Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/,https://github.com/astromanish/CP/blob/master/final_solution/0922.%20Sort%20Array%20By%20Parity%20II/0922.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0922.%20Sort%20Array%20By%20Parity%20II/0922.py,Not started,,Easy,"1. Place odd and even number in odd and even place, not sort is needed. O(n) and O(1)<br>2. Two points with quick sort swap idea, O(n) and O(1).",,,,,nan
1275,Find Winner on a Tic Tac Toe Game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/,https://github.com/astromanish/CP/blob/master/final_solution/1275.%20Find%20Winner%20on%20a%20Tic%20Tac%20Toe%20Game/1275.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1275.%20Find%20Winner%20on%20a%20Tic%20Tac%20Toe%20Game/1275.py,Not started,,Easy,,,,,,nan
1089,Duplicate Zeros,https://leetcode.com/problems/duplicate-zeros/,https://github.com/astromanish/CP/blob/master/final_solution/1089.%20Duplicate%20Zeros/1089.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1089.%20Duplicate%20Zeros/1089.py,Not started,,Easy,"2 Pass, store last position and final move steps, O(n) and O(1)",,,,,nan
290,Word Pattern,https://leetcode.com/problems/word-pattern/,https://github.com/astromanish/CP/blob/master/final_solution/0290.%20Word%20Pattern/0290.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0290.%20Word%20Pattern/0290.py,Not started,Hash Table,Easy,,Hash Table,,,,Hash Table
198,House Robber,https://leetcode.com/problems/house-robber/,https://github.com/astromanish/CP/blob/master/final_solution/0198.%20House%20Robber/0198.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0198.%20House%20Robber/0198.py,Done,Dynamic Programming,Easy,"f(k) = max(f(k – 2) + num[k], f(k – 1)), O(n) and O(1)",Dynamic Programming,,,,Dynamic Programming
1351,Count Negative Numbers in a Sorted Matrix,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/,https://github.com/astromanish/CP/blob/master/final_solution/1351.%20Count%20Negative%20Numbers%20in%20a%20Sorted%20Matrix/1351.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1351.%20Count%20Negative%20Numbers%20in%20a%20Sorted%20Matrix/1351.py,Not started,,Easy,,,,,,nan
1260,Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid/,https://github.com/astromanish/CP/blob/master/final_solution/1260.%20Shift%202D%20Grid/1260.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1260.%20Shift%202D%20Grid/1260.py,Not started,,Easy,"Final position of each element can be computed according to k, m and n, e.g., k == mn, then don't move, O(mn) and O(mn)",,,,,nan
1103,Distribute Candies to People,https://leetcode.com/problems/distribute-candies-to-people/,https://github.com/astromanish/CP/blob/master/final_solution/1103.%20Distribute%20Candies%20to%20People/1103.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1103.%20Distribute%20Candies%20to%20People/1103.py,Not started,,Easy,,,,,,nan
1290,Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,https://github.com/astromanish/CP/blob/master/final_solution/1290.%20Convert%20Binary%20Number%20in%20a%20Linked%20List%20to%20Integer/1290.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1290.%20Convert%20Binary%20Number%20in%20a%20Linked%20List%20to%20Integer/1290.py,Not started,,Easy,Take 2 to the power digit position from right (starting from 0) and multiply it with the digit,,,,,nan
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,https://github.com/astromanish/CP/blob/master/final_solution/0053.%20Maximum%20Subarray/0053.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0053.%20Maximum%20Subarray/0053.py,Not started,,Easy,"1. Recursion, O(nlgn), O(lgn)<br> 2. Bottom-up DP, O(n) and O(n)<br>3. Bottom-up DP, f(x) = max(f(x-1)+A[x], A[x]), f(x) = max(f(x-1)+A[x], A[x]),O(n) and O(1)",,,,,nan
