Question No.,Name,Title Link,Basic Idea
228,Summary Ranges,https://leetcode.com/problems/summary-ranges/,"Detect start and jump, O(n) and O(1)"
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,"1. Recursive check left, val and right, LCA is the split paths in tree, O(n) and O(n)<br>2. Store parents during traversing tree, reverse check their lowest common parent, O(n) and O(n)"
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,"The ans is [0,i -1] * [i+1, len- 1]. We can twice for left and right (reverse), O(n) and O(n)"
243,Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance/,"Update index1 and index2, and check distance, O(n) and O(1)"
252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,"1. Sort and compare intervals[i].end with intervals[i+1], O(nlogn) and O(1)<br>2. Sort and check intervals when count >= 2, O(nlogn) and O(n)"
268,Missing Number,https://leetcode.com/problems/missing-number/,1. Find missing by n * (n - 1)/2 - sum(nums)<br>2. XOR with index<br>3. Sort and binary search
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,"Careful about corner cases, such 1-20 and 21-Hundred, O(lgn) and O(1)"
274,H-Index,https://leetcode.com/problems/h-index/,"[Background](https://en.wikipedia.org/wiki/H-index)<br>1. Sort and check number of papers greater than h, O(nlogn) and O(1)<br>2. Counting sort, O(n) and O(n)"
286,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,"BFS with queue, O(mn) and O(mn)"
305,Number of Islands II,https://leetcode.com/problems/number-of-islands-ii/,"Quick union find with weights, O(nlogn) and O(n)"
322,Coin Change,https://leetcode.com/problems/coin-change/,"Bottom-up or top-down DP, dp[n] = min(dp[n], dp[n - v_i]), where v_i is the coin, O(amount * n) and O(amount)"
336,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,"1. Create a reverse word to index map, then for each word, check prefix and posfix, O(nk^2) and O(n)<br>2. Tire tree, O(nk^2) and O(n)"
337,House Robber III,https://leetcode.com/problems/house-robber-iii/,"1. Recursion with hash map, O(n) and O(n)<br>2. Recursion on two steps, O(n) and O(1)"
